iter	Passed	Remaining
130	3101	20573
131	3129	20575
132	3174	20691
133	3202	20693
134	3255	20859
135	3338	21206
136	3383	21314
137	3409	21295
138	3447	21351
139	3470	21319
140	3486	21240
141	3505	21178
142	3523	21117
143	3543	21066
144	3561	21002
145	3578	20929
146	3597	20873
147	3615	20812
148	3630	20737
149	3652	20696
150	3669	20631
151	3691	20593
152	3708	20529
153	3727	20476
154	3756	20477
155	3780	20452
156	3822	20525
157	3849	20514
158	3876	20506
159	3902	20487
160	3928	20473
161	3946	20415
162	3967	20371
163	3985	20315
164	4000	20245
165	4021	20202
166	4037	20140
167	4055	20082
168	4073	20029
169	4090	19969
170	4115	19951
171	4133	19896
172	4149	19834
173	4167	19783
174	4184	19727
175	4202	19676
176	4222	19631
177	4244	19600
178	4271	19592
179	4306	19618
180	4355	19706
181	4411	19827
182	4469	19952
183	4521	20052
184	4550	20046
185	4577	20032
186	4604	20019
187	4625	19980
188	4642	19921
189	4660	19869
190	4684	19843
191	4705	19803
192	4724	19752
193	4742	19701
194	4761	19655
195	4793	19665
196	4820	19649
197	4851	19653
198	4874	19621
199	4903	19612
200	4953	19691
201	4988	19706
202	5007	19659
203	5030	19630
204	5059	19620
205	5089	19615
206	5108	19571
207	5134	19549
208	5153	19503
209	5180	19486
210	5196	19430
211	5217	19393
212	5237	19350
213	5262	19328
214	5284	19295
215	5309	19271
216	5342	19276
217	5372	19270
218	5414	19309
219	5438	19283
220	5471	19286
221	5512	19318
222	5536	19289
223	5568	19289
224	5596	19275
225	5619	19246
226	5646	19227
227	5675	19217
228	5695	19177
229	5760	19284
230	5789	19273
231	5825	19283
232	5855	19276
233	5880	19251
234	5928	19299
235	5959	19292
236	6006	19335
237	6029	19303
238	6047	19255
239	6065	19206
240	6087	19172
241	6107	19129
242	6128	19092
243	6143	19034
244	6156	18973
245	6177	18934
246	6194	18883
247	6208	18825
248	6235	18807
249	6257	18773
250	6319	18856
251	6353	18859
252	6390	18867
253	6408	18820
254	6428	18781
255	6451	18750
256	6470	18705
257	6490	18665
258	6509	18624
259	6524	18569
260	6540	18520
261	6566	18496
262	6594	18480
263	6618	18452
264	6642	18423
265	6665	18393
266	6694	18378
267	6725	18368
268	6743	18325
269	6762	18284
270	6782	18245
271	6797	18193
272	6821	18165
273	6840	18126
274	6863	18093
275	6880	18048
276	6896	18000
277	6920	17972
278	6938	17931
279	6963	17907
280	6984	17872
281	7012	17854
282	7057	17881
283	7088	17871
284	7145	17925
285	7185	17939
286	7224	17948
287	7282	18002
288	7312	17990
289	7332	17953
290	7360	17933
291	7381	17896
292	7401	17860
293	7418	17813
294	7434	17766
295	7465	17755
296	7487	17721
297	7511	17694
298	7532	17658
299	7556	17631
300	7587	17620
301	7613	17596
302	7632	17556
303	7653	17522
304	7675	17489
305	7697	17457
306	7713	17411
307	7728	17363
308	7745	17320
309	7761	17276
310	7777	17231
311	7802	17205
312	7817	17158
313	7832	17112
314	7853	17078
315	7874	17043
316	7926	17078
317	7960	17072
318	8002	17084
319	8055	17117
320	8091	17116
321	8129	17117
322	8153	17089
323	8200	17109
324	8244	17123
325	8275	17110
326	8304	17090
327	8326	17059
328	8374	17080
329	8474	17205
330	8543	17268
331	8585	17273
332	8616	17259
333	8646	17242
334	8685	17241
335	8704	17201
336	8721	17157
337	8740	17118
338	8765	17091
339	8784	17051
340	8801	17009
341	8816	16962
342	8832	16917
343	8849	16875
344	8867	16834
345	8883	16790
346	8903	16755
347	8918	16708
348	8934	16665
349	8950	16622
350	8964	16575
351	8983	16537
352	8999	16495
353	9014	16450
354	9031	16408
355	9048	16368
356	9062	16322
357	9079	16281
358	9095	16240
359	9110	16197
360	9126	16153
361	9143	16114
362	9158	16071
363	9176	16033
364	9192	15991
365	9207	15948
366	9224	15910
367	9242	15872
368	9257	15829
369	9273	15789
370	9292	15755
371	9309	15716
372	9327	15678
373	9344	15641
374	9360	15601
375	9376	15560
376	9395	15526
377	9412	15488
378	9426	15444
379	9444	15409
380	9458	15366
381	9474	15328
382	9492	15292
383	9507	15251
384	9521	15210
385	9539	15174
386	9553	15132
387	9572	15098
388	9590	15063
389	9604	15021
390	9619	14982
391	9635	14945
392	9651	14906
393	9678	14885
394	9727	14898
395	9765	14894
396	9785	14863
397	9809	14837
398	9824	14798
399	9848	14772
400	9867	14740
401	9891	14713
402	9917	14691
